id,title,type,directors,actors,release_year,duration,categories,plot
613,underworld rise of the lycans,movie,patrick tatopoulos,"michael sheen,bill nighy,rhona mitra,steven mackintosh,kevin grevioux,david aston,geraldine brophy,leighton cardno,alex carroll,elizabeth hawthorne,jason hood",2009,92 min,"action  adventure,horror movies,scifi  fantasy",set in the year 1402 this prequel follows lucian the first werewolf to take human form and chronicles the feud between the vampires and the lycans
614,voiceless,movie,robert o peters,"uzee usman,yakubu mohammed,asabe madaki,sani muazu,rekiya ibrahim atta,adam garba,abba ali zaky,habiba zocksock,abdul usman zada,nadia dutch,abubakar maina,healing marcus udor,jamila ibrahim",2020,112 min,"dramas,international movies,thrillers",a bright and promising young girl gets abducted and taken to a terrorist camp where she unexpectedly crosses paths with her soulmate
615,what dreams may come,movie,vincent ward,"robin williams,cuba gooding jr,annabella sciorra,max von sydow,jessica brooks grant,josh paddock,rosalind chao,lucinda jenney,maggie mccarthy,wilma bonet,matt salinger,carin sprague,june carryl,paul p card iv,werner herzog",1998,114 min,"dramas,romantic movies,scifi  fantasy",a physician finds himself in heaven after an accident inhabiting the landscape of his wifes paintings while seeking to rescue her from the underworld
616,why do fools fall in love,movie,gregory nava,"halle berry,vivica a fox,larenz tate,lela rochon,little richard,paul mazursky,pamela reed,alexis cruz",1998,116 min,"dramas,music  musicals,romantic movies",in this rock n roll comedydrama three women go to court over royalties from the onehitwonder singer they all loved  and whom they all married
617,working title,movie,mary harron,"hannah murray,sosie bacon,marianne rendón,merritt wever,matt smith,suki waterhouse,chace crawford,annabeth gish,kayli carter",2019,110 min,dramas,in the 70s a graduate student works with three incarcerated women from the manson family as they look back at their lives based on a true story
618,young royals,tv show,,"edvin ryding,omar rudberg,malte gårdinger,frida argento,nikita uggla,pernilla august",2021,1 season,"international tv shows,romantic tv shows,tv dramas",prince wilhelm adjusts to life at his prestigious new boarding school hillerska but following his heart proves more challenging than anticipated
619,america the motion picture,movie,matt thompson,"channing tatum,jason mantzoukas,olivia munn,andy samberg,bobby moynihan,judy greer,will forte,raoul trujillo,killer mike,simon pegg",2021,98 min,"action  adventure,comedies",a chainsawwielding george washington teams with beerloving bro sam adams to take down the brits in a tongueincheek riff on the american revolution
620,deranged,movie,jameel buari,"nadia buari,ramsey nouah,zynnell zuh,priscilla opoku agyeman,jason el agha,lisbeth lopez acquah,henry prempeh,pascaline edwards,prince mingle,kelvin boateng",2020,98 min,"dramas,international movies",a substitute teacher and an obsessive student begin an illicit affair that endangers everyone involved and blurs the line between predator and prey
621,droppin cash los angeles,tv show,,,2019,1 season,reality tv,this complex series follows the paper trail of musicians and athletes in los angeles as they blow through stacks on the finer things in life
622,legend of exorcism,tv show,shen leping,"bian jiang,chen jinwen,ling fei",2020,1 season,"anime series,crime tv shows,international tv shows",after leaving yaojin palace kong hongjun arrives in changan to battle demons and forms a bond with exorcism squad chief li jinglong
623,lying and stealing,movie,matt aselton,"theo james,emily ratajkowski,fred melamed,ebon mossbachrach,isiah whitlock jr,evan handler,paul jurewicz,john gatins,fernanda andrade,bob stephenson",2019,100 min,thrillers,a talented thief teams up with an aspiring actress to steal art from las high rollers for their last heist they are going for the ultimate freedom
624,mommy issues,movie,jose javier reyes,"pokwang,sue ramirez,jerome ponce,ryan bang,gloria diaz",2021,90 min,"comedies,dramas,international movies",close quarters and new romances add trouble to the rocky relationship between a highstrung young woman and her demanding mother
625,prime time,movie,jakub piątek,"bartosz bielenia,magdalena popławska,andrzej kłak,małgorzata hajewska,dobromir dymecki,monika frajczyk,cezary kosiński,adam nawojczyk,juliusz chrząstowski",2021,92 min,"dramas,international movies,thrillers",on new years eve 1999 an armed man enters a tv studio during a broadcast takes the host hostage and makes one demand to give a message live on air
626,somos,tv show,,"mercedes hernández,jesús sida,jero medina,armando silva,jimena pagaza,antonio lópez torres,everardo arzate,arelí gonzález,jesús herrera,ulises soto,iliana donatlán,fernando larrañaga,mario alberto quiñones,alejandro ruiz,natalia martínez,josué guerra,salvador montenegro,caraly sánchez,clementina guadarrama",2021,1 season,"crime tv shows,international tv shows,spanishlanguage tv shows",the lives of the people of allende a mexican border town are overtaken by a powerful cartels operations leading to tragedy inspired by true events
627,sophie a murder in west cork,tv show,john dower,,2021,1 season,"british tv shows,crime tv shows,docuseries",a shocking murder in rural ireland sets off an increasingly convoluted quest for justice that spans decades and cuts across national borders
628,the daily life of the immortal king,tv show,,"sun lulu,qian chen,gu jiangshan",2020,1 season,"anime series,international tv shows,teen tv shows",having vanquished a powerful demon at age six precocious wizard wang ling must now navigate high school life as an ordinary teen
629,starbeam,tv show,,"nahanni mitchell,dean petriw,terry klassen,sam vincent,rhona rees,diana kaarina",2021,4 seasons,kids tv,when colorful villains come out to play 8yearold zoey has the power to transform into starbeam a kidsized superhero she saves the day every day
630,a way back home,movie,b t thomas,"alexx ekubo,ik ogbonna,bimbo manuel,haillie sumney,clem ohameze,john fashanu,damilola ogunsi,amb rachel bakam,alexandra ayo,mariah ug",2020,82 min,"dramas,international movies",after receiving a terminal diagnosis a man fakes an accident to spare his familys grief and must deal with the fallout of his deception
631,killing them softly,movie,andrew dominik,"brad pitt,scoot mcnairy,ben mendelsohn,richard jenkins,james gandolfini,ray liotta,vincent curatola,slaine,max casella,trevor long,sam shepard",2012,97 min,dramas,when a couple of lowlevel crooks rob a mobprotected poker game a slick enforcer is hired to track down the offenders and take care of business
632,the seven deadly sins,tv show,,"yuki kaji,sora amamiya,misaki kuno,aoi yuki,tatsuhisa suzuki,jun fukuyama,mamoru miyano,maaya sakamoto",2021,5 seasons,"anime series,international tv shows",when a kingdom is taken over by tyrants the deposed princess begins a quest to find a disbanded group of evil knights to help take back her realm
633,wanted,movie,nibal arakji,"daad rizk,georges diab,sihame haddad,georges boukhalil,aida sabra,pierre rabbat,myriam klink,dory el samarany,josyane boulos",2019,90 min,"comedies,international movies",four seniors embark on misadventures after breaking out of their nursing home to save a loved ones grave from demolition by estate developers
634,into the wind,movie,sofie šustková,"vladimír polívka,jenovéfa boková,matyáš řezníček",2018,76 min,"dramas,independent movies,international movies",two siblings set sail as a crew on a yacht on the aegean sea circumstances soon change when a young documentary filmmaker comes aboard
635,wonder boy,movie,anissa bonnefont,olivier rousteing,2019,83 min,"documentaries,international movies",this revealing documentary follows balmain creative director olivier rousteing as he brings his bold designs to life and goes in search of his origins
636,here comes the rain,movie,bahij hojeij,"hassan mrad,julia kassar,carmen lebbos,diamand bou abboud,elie mitri,bernadette hodeib,aida sabra,gabriel yammine,ali matar,raïa haidar",2010,101 min,"dramas,international movies",abducted during the lebanese civil war and now in his 50s ramez is finally a free man but he returns to society deeply traumatized by the past
637,the ice road,movie,jonathan hensleigh,"liam neeson,benjamin walker,amber midthunder,marcus thomas,laurence fishburne,holt mccallany,martin sensmeier,matt mccoy,matt salinger",2021,109 min,action  adventure,to save a team of miners trapped underground a downonhisluck ice road trucker joins a mission across treacherous terrain to deliver rescue equipment
638,ray,tv show,"srijit mukherji,vasan bala,abhishek chaubey","manoj bajpayee,gajraj rao,kay kay menon,ali fazal,harshvardhan kapoor,radhika madan,shweta basu prasad,chandan roy sanyal,akansha ranjan kapoor,rajesh sharma,bidita bag,kharaj mukherjee,dibyendu bhattacharya,shruthy menon,anindita bose,neeraj purohit,loveleen mishra,raghuvir yadav,manoj pahwa",2021,1 season,"international tv shows,tv dramas,tv mysteries",from a satire to a psychological thriller four short stories from celebrated auteur and writer satyajit ray are adapted for the screen in this series
639,sexlife,tv show,,"sarah shahi,mike vogel,adam demos,margaret odette",2021,1 season,"romantic tv shows,tv dramas",a womans daring sexual past collides with her marriedwithkids present when the badboy ex she cannot stop fantasizing about crashes back into her life
640,godzilla singular point,tv show,,"yume miyamoto,shoya ishige,misaki kuno,rie kugimiya,taro kiuchi,wataru takagi,ayako takeuchi,yohei azakami,jin urayama,kotori koiwai,kenichi suzumura,natsuho koda,hiromichi tezuka,ryotaro okiayu,runa onodera,kenta miyake,masako isobe,tomoyuki shimura",2021,1 season,"anime series,international tv shows",brought together by a mysterious song a grad student and an engineer lead the fight against an unimaginable force that may spell doom for the world
641,jiva,tv show,,"noxolo dlamini,candice modiselle,sne mbatha,stella dlangalala,zazi kunene,ntuthuzelo grootboom,given stuurman,tony kgoroge,anga makubalo,sibulele gcilitshana,zamani mbatha,kagiso modupe",2021,1 season,"international tv shows,tv dramas",a talented street dancer from umlazi durban must confront her fears and deal with family objections to pursue her dancing dreams
642,sisters on track,movie,,,2021,97 min,"documentaries,sports movies",three track star sisters face obstacles in life and in competition as they pursue junior olympic dreams in this extraordinary coming of age journey
643,the naked director,tv show,,"takayuki yamada,shinnosuke mitsushima,tetsuji tamayama,misato morita,tokio emoto,sairi ito,ami tomite,takenori goto,koyuki,lily franky,jun kunimura,ryo ishibashi,kotaro yoshida,itsuji itao,kimiko yo",2021,2 seasons,"international tv shows,tv dramas",in 1980s japan one determined man turned every crushing setback into opportunity his name was toru muranishi and he revolutionized his industry
644,the seventh day,movie,justin p lange,"guy pearce,vadhir derbez,stephen lang,brady jenness,chris galust,robin bartlett,heath freeman,keith david",2021,87 min,horror movies,an inexperienced priest teams up with a hardened exorcist to stop the demonic possession of a young boy but darkness lies where they least expect it
